time,reg1,reg2,reg3,reg4,reg5,reg6,reg7
2024-11-13 17:08:31.182650,25321288.460694153,10146666.222319372,42454669.47429283,15355747.836169403,32889208.616400305,10149446.06927055,35986603.12585768,267178925.09923226
2024-11-13 17:08:51.786420,25262231.86902467,10119943.29592361,42291292.411172956,15242829.33391971,32825066.818379782,10170680.470061814,35827076.90605532,266128727.39958182
2024-11-13 17:09:12.552460,25168432.449181437,10081641.795731666,42555047.321302176,15188547.386390734,32835702.20834274,10156711.091734609,35796969.2992539,266428450.27539417
2024-11-13 17:09:33.322500,25208138.65100931,10021160.989779126,41493729.55632153,15088397.577426597,32879875.51758571,10138620.650420364,35754716.43008742,264919017.85241252
2024-11-13 17:09:54.885300,25130852.97085373,9994412.030633386,40658724.551286876,14991294.877300441,32980498.30819248,10128012.982043559,35704978.57316217,263925002.45722896
2024-11-13 17:10:14.858695,25055405.845036272,10068585.650576768,39763473.36049393,14863413.35175043,32832180.186609223,10094584.770549674,35703069.59566405,262205708.20041755
2024-11-13 17:10:35.623610,25086098.475977324,10009960.182111125,39626998.526378855,14830639.825258832,32844837.919258907,10095499.770305684,35816791.05187586,261994912.41039038
2024-11-13 17:10:56.393765,25074999.168697298,9980648.855498517,39195767.77389215,14866478.69279377,32880147.85289268,10134587.745309433,35836754.55811484,261343909.55492198
2024-11-13 17:11:17.160805,25086265.42648171,9896032.357853703,39107747.90362206,14880257.111639526,32872633.93672336,10145097.245592603,35984841.798539616,261235363.56360516
2024-11-13 17:11:37.928845,25171801.30831795,9922203.15318768,38816502.12314494,14871869.74015462,32785529.199447647,10148179.46519604,36111597.699452594,260965714.48656848
2024-11-13 17:11:58.696885,25239103.367876064,9903908.23881798,38511612.296902016,14874367.115006588,32799282.97389202,10157630.549036179,36158582.30194865,260492363.81416854
2024-11-13 17:12:19.464915,25282991.615200043,9856173.800515275,37551485.77022737,14836724.497106912,32893957.07768455,10144381.296179771,36158466.58261332,259226458.8228226
2024-11-13 17:12:40.232955,25226807.68118288,9878271.211928977,36880381.3177613,14841944.033916336,32838133.557108946,10101372.293424658,36155314.265740655,258101755.72879857
2024-11-13 17:13:01.112000,25193895.792649783,9889119.211603407,36446839.365752496,14778564.026982857,32754280.338872757,10080325.445564946,36076386.35521409,257393051.04895225
2024-11-13 17:13:21.769025,25144251.4206748,9872418.327979444,36141425.014436476,14787595.791789714,32634108.997973047,10091764.635968974,36074057.92538518,256757060.83923614
2024-11-13 17:13:42.537190,25090507.52495268,9842645.478979472,35741278.04480241,14749841.400563315,32412104.245150827,10082436.876688167,36156765.04493935,256030138.10393396
2024-11-13 17:14:03.305230,25120719.33019965,9800930.75019581,35286956.15464401,14789406.173599355,32390155.44464699,10077599.692939684,36173338.1414343,255651645.5227508
2024-11-13 17:14:24.732600,25056631.869748898,9810893.506653048,35188732.24718062,14777980.358710375,32275907.607796434,10086640.200592127,36207731.88981245,255495929.60093454
2024-11-13 17:14:44.841300,24917160.428078957,9818966.20447621,34980478.665132254,14818892.220530149,32194583.18709267,10113732.608407931,36114698.803533435,255037583.52334756
2024-11-13 17:15:05.609465,25053059.778171074,9725858.8752581,34772103.09108247,14861458.12196811,32227676.075141326,10147844.166920528,35925280.50030848,254789820.59321874
2024-11-13 17:15:26.376380,25036978.56850705,9817760.252291217,34554450.915088445,14933209.68519268,32003243.491953358,10158345.576092158,36026577.04698352,254143718.95165843
2024-11-13 17:15:47.145535,24952315.117465563,9859887.442499625,34209107.46027199,14898481.979944028,31992514.28364455,10192633.580416711,36036767.68412302,253767531.77500355
2024-11-13 17:16:07.913575,25127552.610086672,9774981.940273918,33868378.735275164,14869513.111573996,32096149.653623782,10172586.648657449,36043689.49085306,253431939.13246807
2024-11-13 17:16:28.713615,25024042.88969727,9732305.394527525,33603161.82346929,14910898.158142833,31948241.575294435,10173751.290590331,35989448.44037606,252673104.82955614
2024-11-13 17:16:49.481645,25096121.10821213,9748643.561778083,33337477.48787431,14957082.935870893,31879537.517150514,10113364.362479184,36082079.32791134,252044254.45235184
2024-11-13 17:17:10.249685,25220390.93723286,9698777.196751405,33268400.63852795,14927813.84626364,31962362.623399436,10124066.063294169,36120206.69516346,252139136.59900063
2024-11-13 17:17:31.177250,25184044.66813545,9715044.267582789,33076482.909911405,14954875.015460718,32060176.116008334,10117172.09893053,36139870.65826948,251802695.99729052
2024-11-13 17:17:51.785880,25052217.299201094,9643218.13175669,32701567.516282108,15039144.248543521,32098542.551533744,10126545.13627898,36194043.16611553,251364383.6620619
2024-11-13 17:18:12.553795,24988791.33210339,9605990.105805136,32598173.60433321,15056349.39372991,31973017.555659473,10122127.823155768,36199181.454466954,251271690.9991594
2024-11-13 17:18:33.321960,25039702.415016472,9570834.42910581,32595919.470649306,14977039.589838564,31898692.832889933,10082806.975334205,36183489.81045156,251389793.35896945
2024-11-13 17:18:51.209990,25037425.80880936,9505542.699069109,32262958.200469162,14832839.06779309,32001317.73410022,10081108.152248181,36095714.06496454,251336635.63526618
2024-11-13 17:20:28.170285,25080200.271499418,9714702.476186465,31589253.99916817,14967478.47131596,31494523.683935374,10055195.565906601,36138522.05524413,248196739.93442392
2024-11-13 17:22:05.130455,24968661.40370183,9500554.419143263,30990816.061097067,14664575.35364588,30910666.403665595,9945663.96406381,36085603.64257073,246332100.8059091
2024-11-13 17:23:42.907600,24859724.07592041,9518610.504495053,30741545.2192813,14428093.00394144,30951117.34742283,9916226.762352206,36371046.57700887,246313630.2393989
