date_time,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-07-10 05:59:02.554765,58.87364078188421,438.4553516559817,15480764.592285156,8814.5118692093,170872003.57714844,6604,24.0,1158.173461823573
2024-07-10 05:59:22.842805,61.45691358684042,437.1736318265935,15150839.895507812,8677.372625126396,165744431.24609375,6411,28.0,1169.5863602668644
2024-07-10 05:59:43.134960,62.02227355265969,431.55712626997035,14742812.184082031,8574.74284444663,161795241.88085938,6268,30.0,1171.5863602668644
2024-07-10 06:00:03.415855,60.02402798547319,433.29670513657936,14961033.05078125,8655.112198095476,164782967.37402344,6413,27.0,1168.5863602668644
2024-07-10 06:00:23.703980,51.72047639393292,417.78929704140785,14441802.088378906,8761.347441683642,167964220.07617188,6644,17.0,1128.934766493699
2024-07-10 06:00:43.992105,44.60694029053621,413.8470950186021,14127142.883789062,8700.633112599255,165529176.00390625,6604,10.0,1114.5218680504076
2024-07-10 06:01:04.280230,43.04425069429609,404.754324599102,13494055.149414062,8597.302085702935,161321261.45507812,6494,10.0,1107.1089696071163
2024-07-10 06:01:24.569355,41.257802819910275,395.699271454754,12829180.625976562,8504.030097542127,157466236.42578125,6376,10.0,1099.696071163825
2024-07-10 06:01:44.857480,42.09938581499679,394.4384385717892,12978367.528320312,8622.446210888646,161671524.84765625,6549,10.0,1084.8702742772425
2024-07-10 06:02:05.145730,42.87238036744285,390.4455000533154,12729400.418457031,8631.715987842475,161742442.2080078,6555,12.0,1079.4573758339511
2024-07-10 06:02:25.432855,43.427846613971376,393.12189231660005,12940392.729492188,8637.107296693137,162139637.63867188,6562,14.0,1081.4573758339511
2024-07-10 06:02:45.720980,47.99852061525315,397.2048292721088,13141863.465820312,8603.48159787539,161181654.67578125,6488,17.0,1091.8702742772425
2024-07-10 06:03:06.910500,49.295938367870114,397.85718375090863,12885000.923828125,8510.612293102984,157746044.13085938,6337,20.0,1109.696071163825
2024-07-10 06:03:26.297230,48.05150875881222,399.48495512671076,12772122.977539062,8488.668035768884,156887093.0205078,6372,21.0,1125.5218680504076
2024-07-10 06:03:46.585355,51.28391903439436,400.9287456756612,12695270.715820312,8459.737895049095,155829601.2216797,6322,23.0,1149.7605633802818
2024-07-10 06:04:06.873480,51.6043286690878,391.6520197330105,11665315.99609375,8213.430088985975,146586183.64941406,5989,27.0,1168.5863602668644
