Date,img_mode,QS_mode,QS_median,QS_mean,QS_std,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-07-10 06:04:27.161730,5375,5418,5418.0,5769.766213393373,1253.0213708666313,5384,6647.355258014073,2003.7211550953327,5204,7058.258814385181,2219.4139108033546
2024-07-10 06:04:47.449855,5247,5375,5411.0,5766.045630775983,1245.5009566083297,5255,6643.352243940579,2000.2888313991996,5229,7053.301988217006,2216.267943847209
2024-07-10 06:05:07.737980,5341,5354,5408.0,5756.181533047113,1209.8984902573998,5341,6637.646402324255,1997.6398354360192,5190,7039.288823674861,2200.866462691341
2024-07-10 06:05:28.261050,5208,5341,5399.0,5750.351269664111,1210.7134763843962,5175,6627.853058785858,1989.8258408046206,5496,7027.702235785583,2191.767554050909
2024-07-10 06:05:48.314230,5334,5334,5394.0,5757.449427173843,1234.9250822004947,5305,6624.677254601528,1985.7160834395113,5237,7014.122641264736,2186.23148540336
2024-07-10 06:06:08.603355,5359,5359,5393.0,5753.60489476733,1237.482485550145,5207,6625.326619129,1990.0761224387174,5207,7015.429539471124,2192.8642377554374
2024-07-10 06:06:28.891480,5307,5288,5388.0,5739.102470385828,1235.3675081417196,5218,6621.104125866517,1983.5708264395812,5217,7013.471776311949,2191.909107552804
2024-07-10 06:06:49.179730,5193,5230,5390.0,5737.399888046493,1235.650076086007,5193,6621.90931875408,1988.1706428897728,5288,7015.706646171009,2198.564247018034
2024-07-10 06:07:09.464855,5351,5274,5393.0,5739.414687774846,1234.6093646745273,5215,6622.705391840959,1993.2016563910045,5470,7021.870381414163,2199.451897868378
2024-07-10 06:07:29.754980,5297,5281,5402.0,5744.582869148832,1233.7627204032042,5178,6625.112410412639,1998.8083723026293,5189,7024.970097492675,2207.2059850961355
2024-07-10 06:07:46.649105,5378,5378,5408.0,5749.9173995895635,1233.964254323087,5185,6631.7578338898975,2002.5788727630147,5412,7031.72717608318,2210.6335400513813
2024-07-10 06:09:19.195730,5387,5387,5399.0,5753.714308969559,1223.699719798306,5258,6632.344011626317,2012.2293207475634,5263,7054.105192204494,2224.0504888781293
2024-07-10 06:10:51.738355,5290,5294,5400.0,5762.628720509672,1239.737173361435,5290,6625.82468067972,2004.241277318556,5436,7052.174282069307,2218.4663862624516
2024-07-10 06:12:24.282695,5296,5296,5400.0,5730.291163000225,1207.615940262959,5208,6635.2473895582325,1996.5740232562132,5450,7045.277720735862,2210.5536326774327
2024-07-10 06:13:56.826980,5369,5329,5402.0,5739.537710736468,1187.4827964904828,5185,6635.406219007059,1995.7675192060797,5369,7031.7550228725895,2186.7926495638294
