Time,xrsa,xrsb,xrsa_quality,xrsb_quality,xrsa_primary_chan,xrsb_primary_chan
2024-10-09 01:34:11.612221,7.162803e-07,6.343749e-06,0,0,1,1
2024-10-09 01:34:12.612223,7.1306044e-07,6.3688467e-06,0,0,1,1
2024-10-09 01:34:13.612228,7.0980815e-07,6.380407e-06,0,0,1,1
2024-10-09 01:34:14.612230,7.141229e-07,6.4138485e-06,0,0,1,1
2024-10-09 01:34:15.612229,7.2059504e-07,6.4080605e-06,0,0,1,1
2024-10-09 01:34:16.612238,7.1843766e-07,6.4415026e-06,0,0,1,1
2024-10-09 01:34:17.612236,7.313819e-07,6.4652977e-06,0,0,1,1
2024-10-09 01:34:18.612243,7.292245e-07,6.4665837e-06,0,0,1,1
2024-10-09 01:34:19.612246,7.5187694e-07,6.4916653e-06,0,0,1,1
2024-10-09 01:34:20.612248,7.518932e-07,6.5386284e-06,0,0,1,1
2024-10-09 01:34:21.612248,7.637425e-07,6.5444005e-06,0,0,1,1
2024-10-09 01:34:22.612257,7.5944405e-07,6.5617805e-06,0,0,1,1
2024-10-09 01:34:23.612253,7.7129334e-07,6.5726977e-06,0,0,1,1
2024-10-09 01:34:24.612262,7.7129334e-07,6.642154e-06,0,0,1,1
2024-10-09 01:34:25.612261,7.756081e-07,6.6511575e-06,0,0,1,1
2024-10-09 01:34:26.612263,7.7884414e-07,6.667878e-06,0,0,1,1
2024-10-09 01:34:27.612268,7.8963103e-07,6.6807406e-06,0,0,1,1
2024-10-09 01:34:28.612267,7.98293e-07,6.716144e-06,0,0,1,1
2024-10-09 01:34:29.612273,8.2197545e-07,6.7193114e-06,0,0,1,1
2024-10-09 01:34:30.612274,8.1120476e-07,6.768847e-06,0,0,1,1
2024-10-09 01:34:31.612274,8.1334593e-07,6.7951983e-06,0,0,1,1
2024-10-09 01:34:32.612283,8.284638e-07,6.80872e-06,0,0,1,1
2024-10-09 01:34:33.612284,8.274014e-07,6.8344607e-06,0,0,1,1
2024-10-09 01:34:34.612284,8.4034565e-07,6.873691e-06,0,0,1,1
2024-10-09 01:34:35.612289,8.42503e-07,6.909705e-06,0,0,1,1
2024-10-09 01:34:36.612294,8.608407e-07,6.9405746e-06,0,0,1,1
2024-10-09 01:34:37.612295,8.619194e-07,6.956009e-06,0,0,1,1
2024-10-09 01:34:38.612300,8.867455e-07,7.0049023e-06,0,0,1,1
2024-10-09 01:34:39.612304,8.834606e-07,7.0460123e-06,0,0,1,1
2024-10-09 01:34:40.612302,8.9965715e-07,7.0453857e-06,0,0,1,1
2024-10-09 01:34:41.612306,8.899489e-07,7.1058384e-06,0,0,1,1
2024-10-09 01:34:42.612310,9.1585383e-07,7.1495865e-06,0,0,1,1
2024-10-09 01:34:43.612307,9.244669e-07,7.162432e-06,0,0,1,1
2024-10-09 01:34:44.612315,9.1475874e-07,7.211309e-06,0,0,1,1
2024-10-09 01:34:45.612318,9.352702e-07,7.252485e-06,0,0,1,1
2024-10-09 01:34:46.612318,9.4927674e-07,7.305847e-06,0,0,1,1
2024-10-09 01:34:47.612321,9.417423e-07,7.3290153e-06,0,0,1,1
2024-10-09 01:34:48.612325,9.503718e-07,7.347666e-06,0,0,1,1
2024-10-09 01:34:49.612329,9.676471e-07,7.393987e-06,0,0,1,1
2024-10-09 01:34:50.612332,9.837947e-07,7.430611e-06,0,0,1,1
