filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS_area
2024-10-09T01:57:45.424,359265235.9023889,5016.814958402753,17566,16728
2024-10-09T01:59:12.698,354565140.91214496,5003.774202227851,17566,16728
2024-10-09T01:59:30.719,330021100.1826971,4461.053547391009,17566,16728
2024-10-09T02:00:57.370,317334416.5136105,4496.646141512408,17566,16728
2024-10-09T02:01:14.765,335345469.87809277,5047.859350495776,17566,16728
2024-10-09T02:02:42.353,326472505.7547464,5010.387598899287,17566,16728
2024-10-09T02:02:59.414,306318602.56666946,4470.573765948545,17566,16728
2024-10-09T02:04:26.716,298846839.9217811,4493.38806253367,17566,16728
2024-10-09T02:04:44.110,315680741.924714,5043.18032963143,17566,16728
2024-10-09T02:06:11.381,309368813.01752055,5022.654219299591,17566,16728
2024-10-09T02:06:28.760,290039312.92161626,4480.389384472931,17566,16728
2024-10-09T02:07:56.629,286117173.8825125,4477.661513083917,17566,16728
2024-10-09T02:08:13.456,303902226.39388746,5011.983110308847,17566,16728
2024-10-09T02:09:40.759,302629845.48284584,5013.227098784572,17566,16728
2024-10-09T02:09:58.137,283896084.67834765,4478.708869352512,17566,16728
2024-10-09T02:11:25.440,279744334.2683055,4484.979457495179,17566,16728
2024-10-09T02:11:42.834,296722112.7750407,5030.141252457885,17566,16728
2024-10-09T02:13:10.136,293447158.7496122,5023.898100847837,17566,16728
2024-10-09T02:13:27.513,275093461.35498035,4479.968059841545,17566,16728
2024-10-09T02:14:54.816,271744486.7391284,4507.991840888187,17566,16728
2024-10-09T02:15:12.210,288537497.05188745,5050.814853428164,17566,16728
2024-10-09T02:16:39.513,286414429.8619523,5037.036090671734,17566,16728
2024-10-09T02:16:56.891,268781263.8751426,4497.089119219173,17566,16728
2024-10-09T02:18:24.192,264828848.61886063,4495.439188015051,17566,16728
2024-10-09T02:18:41.587,280799434.38358706,5034.710449434149,17566,16728
2024-10-09T02:20:08.889,277597101.77990025,5036.178107867901,17566,16728
2024-10-09T02:20:26.267,260543724.8566515,4502.424056238458,17566,16728
2024-10-09T02:21:53.569,259181863.91838557,4527.883407711805,17566,16728
2024-10-09T02:22:10.961,275643891.7703334,5062.268298832287,17566,16728
2024-10-09T02:23:38.234,272665895.93404007,5053.615583401534,17566,16728
2024-10-09T02:23:55.610,255474978.4204956,4515.802025286812,17566,16728
2024-10-09T02:25:22.914,253286385.27706748,4508.180333969767,17566,16728
2024-10-09T02:25:40.306,269197091.741846,5055.654082168665,17566,16728
2024-10-09T02:27:07.546,267171200.38313425,5079.496950856096,17566,16728
2024-10-09T02:27:24.922,250288081.37629622,4544.041629226127,17566,16728
2024-10-09T02:28:52.230,245025278.69220135,4506.467800966742,17566,16728
2024-10-09T02:29:09.647,235374571.57508004,4424.841421886391,17566,16728
2024-10-09T02:30:41.468,232779487.96756804,4464.753923282957,17566,16728
2024-10-09T02:30:58.459,240656028.6617334,4546.306000317747,17566,16728
2024-10-09T02:32:25.762,237380733.59598505,4531.823784390803,17566,16728
2024-10-09T02:32:43.182,229455356.16648465,4445.568963241691,17566,16728
2024-10-09T02:34:14.583,226127548.21963087,4460.282404866839,17566,16728
2024-10-09T02:34:31.995,231948316.70200118,4528.56145485995,17566,16728
2024-10-09T02:35:59.298,228300249.68745807,4536.532487517926,17566,16728
2024-10-09T02:36:16.720,221881437.40340725,4465.150077679053,17566,16728
2024-10-09T02:37:48.117,220600653.147931,4453.333117008406,17566,16728
2024-10-09T02:38:05.532,225883605.07091117,4529.20099302339,17566,16728
2024-10-09T02:39:32.833,223476856.62575966,4550.310199969702,17566,16728
2024-10-09T02:39:50.255,217654598.31699023,4479.975500110623,17566,16728
2024-10-09T02:41:21.622,215249358.84016505,4474.737713870794,17566,16728
2024-10-09T02:41:39.356,219835379.32456538,4545.763970542906,17566,16728
2024-10-09T02:43:06.338,217820395.65922022,4535.053331521331,17566,16728
2024-10-09T02:43:23.760,212493307.2267212,4465.745729845439,17566,16728
2024-10-09T02:44:55.190,209662521.12225166,4466.73419513982,17566,16728
2024-10-09T02:45:12.604,213247243.54337332,4538.971621081558,17566,16728
2024-10-09T02:46:39.905,211300573.5164507,4538.845929362437,17566,16728
2024-10-09T02:46:57.328,207304424.14395437,4475.556580202893,17566,16728
2024-10-09T02:48:28.759,205679570.68781373,4449.510843795822,17566,16728
2024-10-09T02:48:46.673,205109424.23415774,4450.381496627738,17566,16728
2024-10-09T02:50:18.103,204355631.8473527,4476.213926143285,17566,16728
2024-10-09T02:50:36.169,204710809.18792662,4473.339285485768,17566,16728
2024-10-09T02:52:07.447,203828268.55923066,4420.783883491222,17566,16728
2024-10-09T02:52:25.361,203262796.62002632,4422.7047398696495,17566,16728
2024-10-09T02:53:59.000,200812675.8465812,4431.372550917918,17566,16728
2024-10-09T02:54:16.914,200432630.83651215,4442.418918574633,17566,16728
