Wavelength,Transmission,Interpolated_Intensity,Expected_Counts
3.897301788999999985e+02,2.080000000000000023e-12,1.839766816787105479e-08,3.826714978917179571e-20
3.897389135999999894e+02,1.679999999999999950e-11,1.840144376589401951e-08,3.091442552670195116e-19
3.897476083000000244e+02,6.239999999999999261e-12,1.840520207380733411e-08,1.148484609405577529e-19
3.897563430999999810e+02,0.000000000000000000e+00,1.840897771505555480e-08,0.000000000000000000e+00
3.897650777999999718e+02,0.000000000000000000e+00,1.841275331307851622e-08,0.000000000000000000e+00
3.897737824999999816e+02,1.784999999999999846e-11,1.841651594351923756e-08,3.287348095918183712e-19
3.897825171999999725e+02,0.000000000000000000e+00,1.842029154154220228e-08,0.000000000000000000e+00
3.897912418999999886e+02,3.759999999999999811e-11,1.842406281703775695e-08,6.927447619206196515e-19
3.897999465999999984e+02,2.928000000000000125e-11,1.842782544747847829e-08,5.395667291021698756e-19
3.898086812999999893e+02,1.455999999999999935e-11,1.843160104550143970e-08,2.683641112225009475e-19
3.898174159999999802e+02,0.000000000000000000e+00,1.843537664352440443e-08,0.000000000000000000e+00
3.898261206999999899e+02,0.000000000000000000e+00,1.843913927396512246e-08,0.000000000000000000e+00
3.898348454999999717e+02,2.170000000000000003e-11,1.844291059268593972e-08,4.002111598612848927e-19
3.898435802000000194e+02,0.000000000000000000e+00,1.844668619070892760e-08,0.000000000000000000e+00
3.898522848999999724e+02,0.000000000000000000e+00,1.845044882114962247e-08,0.000000000000000000e+00
3.898610196000000201e+02,2.287999999999999944e-11,1.845422441917261035e-08,4.222326547106692914e-19
3.898697142999999983e+02,2.210000000000000075e-12,1.845798272708590179e-08,4.079214182685984160e-20
3.898784489999999892e+02,2.080000000000000023e-12,1.846175832510886321e-08,3.840045731622643377e-20
3.898871836999999800e+02,5.850000000000000317e-12,1.846553392313182462e-08,1.080233734503211840e-19
3.898958883999999898e+02,1.325999999999999964e-11,1.846929655357254596e-08,2.449028723003719345e-19
3.899046230999999807e+02,0.000000000000000000e+00,1.847307215159551068e-08,0.000000000000000000e+00
3.899133178000000157e+02,1.972000000000000079e-11,1.847683045950882197e-08,3.643630966615139745e-19
