filter2_file,counts_under_contours
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.38.28.108_0983NB04.fits,270438000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.40.17.611_0983NB04.fits,271863600.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.42.07.116_0983NB04.fits,272953700.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.43.56.621_0983NB04.fits,269629340.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.45.46.124_0983NB04.fits,269056220.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.47.35.629_0983NB04.fits,266287780.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.49.25.131_0983NB04.fits,264409810.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.51.14.635_0983NB04.fits,266321200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.53.04.140_0983NB04.fits,267348930.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.54.53.644_0983NB04.fits,267163000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.56.43.147_0983NB04.fits,263794500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.58.32.653_0983NB04.fits,264847940.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.00.22.156_0983NB04.fits,264670430.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.02.11.661_0983NB04.fits,263100770.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.04.01.165_0983NB04.fits,263809760.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.05.50.669_0983NB04.fits,266248800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.07.40.174_0983NB04.fits,265762660.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.09.29.677_0983NB04.fits,265477400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.11.19.182_0983NB04.fits,266821340.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.13.08.687_0983NB04.fits,266568100.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.14.58.190_0983NB04.fits,265936770.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.16.47.696_0983NB04.fits,266267440.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.18.37.197_0983NB04.fits,267085380.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.20.26.701_0983NB04.fits,268859460.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.22.16.207_0983NB04.fits,268731600.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.24.05.710_0983NB04.fits,267009230.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.25.55.214_0983NB04.fits,266629280.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.27.44.719_0983NB04.fits,266847440.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.29.34.222_0983NB04.fits,267002580.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.31.23.727_0983NB04.fits,267867170.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.33.13.236_0983NB04.fits,268591100.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.35.02.735_0983NB04.fits,268319950.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.36.52.244_0983NB04.fits,266481280.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.38.41.744_0983NB04.fits,266425500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.40.31.255_0983NB04.fits,265569170.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.42.20.753_0983NB04.fits,265867100.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.44.10.260_0983NB04.fits,265084420.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.45.59.762_0983NB04.fits,265219870.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.47.49.265_0983NB04.fits,265302540.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.49.38.767_0983NB04.fits,266240900.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.51.28.273_0983NB04.fits,263122350.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.53.17.776_0983NB04.fits,265879490.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.55.07.281_0983NB04.fits,264748600.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.56.56.785_0983NB04.fits,265836750.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T14.58.46.289_0983NB04.fits,267305180.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.00.35.791_0983NB04.fits,270219780.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.02.25.295_0983NB04.fits,269839800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.04.14.800_0983NB04.fits,270636480.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.06.04.305_0983NB04.fits,268803200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.07.53.809_0983NB04.fits,269317020.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.09.43.347_0983NB04.fits,269690560.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.11.32.851_0983NB04.fits,268417780.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.13.22.356_0983NB04.fits,268117630.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.13.41.797_0973NB04.fits,267818930.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.14.01.189_0973NB04.fits,267800980.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.14.20.583_0973NB04.fits,267564540.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.15.57.832_0973NB04.fits,265328620.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.17.35.458_0973NB04.fits,265020000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.19.12.230_0973NB04.fits,264267700.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.20.49.415_0973NB04.fits,264003200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.22.26.598_0973NB04.fits,264266690.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.24.03.783_0973NB04.fits,266299420.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.25.40.968_0973NB04.fits,267496060.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.27.18.151_0973NB04.fits,271067650.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.28.55.335_0973NB04.fits,275386240.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.30.32.520_0973NB04.fits,294264400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.32.09.959_0973NB04.fits,314877250.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.33.47.394_0983NB04.fits,310346400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.35.37.129_0983NB04.fits,313417800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.37.26.856_0983NB04.fits,297051260.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.39.16.585_0983NB04.fits,286946500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.41.06.313_0983NB04.fits,281976450.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.42.56.413_0983NB04.fits,278640200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.44.45.770_0983NB04.fits,274122000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.46.35.495_0983NB04.fits,273678340.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.48.25.225_0983NB04.fits,271429000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.50.14.921_0983NB04.fits,270974800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.52.04.648_0983NB04.fits,269555330.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.53.54.346_0983NB04.fits,267841570.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.55.44.415_0983NB04.fits,267060980.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.57.33.705_0983NB04.fits,265888300.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T15.59.23.371_0983NB04.fits,264694900.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.01.13.345_0983NB04.fits,263047680.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.03.02.731_0983NB04.fits,261264400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.04.52.427_0983NB04.fits,261858690.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.06.42.154_0983NB04.fits,261287620.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.08.31.883_0983NB04.fits,260476670.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.10.21.611_0983NB04.fits,262489700.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.12.11.340_0983NB04.fits,260546560.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.14.01.687_0983NB04.fits,260843920.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.15.50.794_0983NB04.fits,260138860.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.17.40.491_0983NB04.fits,262984500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.19.30.187_0983NB04.fits,264323840.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.21.19.884_0983NB04.fits,266004720.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.23.09.580_0983NB04.fits,265571980.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.24.59.311_0983NB04.fits,264191620.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.26.49.501_0983NB04.fits,263160830.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.28.38.669_0983NB04.fits,262871170.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.30.28.332_0983NB04.fits,263282430.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.32.18.299_0983NB04.fits,262977220.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.34.07.725_0983NB04.fits,261128420.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.35.57.421_0983NB04.fits,259691460.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.37.47.117_0983NB04.fits,259192930.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.39.36.813_0983NB04.fits,259136900.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.41.26.478_0983NB04.fits,259735500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.43.16.142_0983NB04.fits,263331230.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.45.05.837_0983NB04.fits,267235330.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.46.55.501_0983NB04.fits,263545310.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.48.45.165_0983NB04.fits,260265000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.50.34.830_0983NB04.fits,259611340.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.52.24.494_0983NB04.fits,260597780.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.54.14.157_0983NB04.fits,260140290.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.56.03.823_0983NB04.fits,258411220.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.57.53.487_0983NB04.fits,256842510.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T16.59.43.151_0983NB04.fits,259949980.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.01.32.813_0983NB04.fits,258133760.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.03.22.510_0983NB04.fits,259686460.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.05.12.206_0983NB04.fits,262088180.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.07.01.871_0983NB04.fits,257390260.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.08.51.535_0983NB04.fits,256658020.0
