time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10
2024-06-02 07:51:18.622,2.900805,2.1306512e+07,2.618062e+06,1.742872e+07,7.483097e+06,3.423289e+06,1.854393e+06,1.906035e+06,2.336104e+06,1.701831e+06,2.683812e+06
2024-06-02 07:51:30.615,2.900804,2.1294816e+07,2.611936e+06,1.742694e+07,7.483344e+06,3.42396e+06,1.859258e+06,1.908274e+06,2.33481e+06,1.703652e+06,2.683277e+06
2024-06-02 07:51:42.622,2.9008030000000002,2.1302894e+07,2.616125e+06,1.7409416e+07,7.487017e+06,3.425387e+06,1.856619e+06,1.905392e+06,2.337111e+06,1.697753e+06,2.686046e+06
2024-06-02 07:51:54.622,2.9008,2.1291958e+07,2.610602e+06,1.7394028e+07,7.487397e+06,3.424076e+06,1.871169e+06,1.90618e+06,2.337751e+06,1.69968e+06,2.694586e+06
2024-06-02 07:52:06.622,2.900802,2.1303572e+07,2.609558e+06,1.7399152e+07,7.490222e+06,3.424493e+06,1.879274e+06,1.903186e+06,2.337581e+06,1.697871e+06,2.691379e+06
2024-06-02 07:52:18.622,2.900804,2.129804e+07,2.599576e+06,1.7387664e+07,7.491375e+06,3.429364e+06,1.870645e+06,1.902405e+06,2.331032e+06,1.697665e+06,2.692877e+06
2024-06-02 07:52:30.622,2.900803,2.1290788e+07,2.590261e+06,1.740368e+07,7.489678e+06,3.432e+06,1.866882e+06,1.900527e+06,2.337998e+06,1.698364e+06,2.690827e+06
2024-06-02 07:52:42.622,2.900802,2.1295604e+07,2.58837e+06,1.7398044e+07,7.481709e+06,3.428834e+06,1.855617e+06,1.897781e+06,2.335477e+06,1.693239e+06,2.686853e+06
2024-06-02 07:52:54.616,2.900804,2.1310164e+07,2.585565e+06,1.7415252e+07,7.481469e+06,3.430176e+06,1.859881e+06,1.902632e+06,2.343915e+06,1.700907e+06,2.696987e+06
2024-06-02 07:53:06.622,2.900801,2.1354034e+07,2.587631e+06,1.7390984e+07,7.479094e+06,3.431566e+06,1.851041e+06,1.900474e+06,2.343041e+06,1.695625e+06,2.699785e+06
2024-06-02 07:53:18.622,2.900803,2.1327912e+07,2.592715e+06,1.7384108e+07,7.47607e+06,3.42903e+06,1.848628e+06,1.896323e+06,2.341647e+06,1.696273e+06,2.697451e+06
2024-06-02 07:53:30.622,2.9008019999999997,2.1325108e+07,2.587622e+06,1.7381828e+07,7.484915e+06,3.432269e+06,1.848803e+06,1.897625e+06,2.344531e+06,1.694051e+06,2.700396e+06
2024-06-02 07:53:42.622,2.9008019999999997,2.1321016e+07,2.581602e+06,1.738962e+07,7.480679e+06,3.433555e+06,1.852176e+06,1.896709e+06,2.339696e+06,1.695452e+06,2.705502e+06
2024-06-02 07:53:54.630,2.900802,2.1324966e+07,2.582296e+06,1.7362292e+07,7.48348e+06,3.428052e+06,1.859836e+06,1.892526e+06,2.339905e+06,1.687749e+06,2.705034e+06
2024-06-02 07:54:06.616,2.900805,2.1298788e+07,2.58089e+06,1.7368764e+07,7.489815e+06,3.421707e+06,1.870888e+06,1.893142e+06,2.333628e+06,1.687565e+06,2.707202e+06
2024-06-02 07:54:18.622,2.9008030000000002,2.1269758e+07,2.587164e+06,1.7374144e+07,7.484088e+06,3.426528e+06,1.865129e+06,1.89394e+06,2.333586e+06,1.684471e+06,2.703032e+06
2024-06-02 07:54:30.622,2.900803,2.125824e+07,2.5893e+06,1.735855e+07,7.485109e+06,3.423961e+06,1.860503e+06,1.893738e+06,2.33532e+06,1.689284e+06,2.705758e+06
2024-06-02 07:54:42.623,2.9008009999999995,2.1229864e+07,2.582915e+06,1.7369372e+07,7.487288e+06,3.429031e+06,1.860811e+06,1.89483e+06,2.337902e+06,1.689491e+06,2.702307e+06
2024-06-02 07:54:54.622,2.900802,2.1236536e+07,2.572069e+06,1.7358448e+07,7.47486e+06,3.423212e+06,1.864311e+06,1.891412e+06,2.33902e+06,1.688333e+06,2.701638e+06
2024-06-02 07:55:06.622,2.9008019999999997,2.1242276e+07,2.577501e+06,1.73504e+07,7.485245e+06,3.424428e+06,1.867914e+06,1.889495e+06,2.338503e+06,1.688763e+06,2.702411e+06
2024-06-02 07:55:18.623,2.900801,2.1256874e+07,2.569546e+06,1.7359192e+07,7.488605e+06,3.425012e+06,1.866894e+06,1.890461e+06,2.33726e+06,1.691295e+06,2.701682e+06
2024-06-02 07:55:30.622,2.9008,2.1267296e+07,2.573416e+06,1.7375042e+07,7.491355e+06,3.428101e+06,1.868868e+06,1.890829e+06,2.341612e+06,1.693271e+06,2.698743e+06
2024-06-02 07:55:42.622,2.9008019999999997,2.1281024e+07,2.569935e+06,1.7379976e+07,7.493087e+06,3.425226e+06,1.859216e+06,1.88414e+06,2.341621e+06,1.693462e+06,2.706299e+06
2024-06-02 07:55:54.622,2.900802,2.1254888e+07,2.564194e+06,1.7387912e+07,7.489162e+06,3.424653e+06,1.856536e+06,1.885006e+06,2.34366e+06,1.696072e+06,2.701041e+06
