# Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity
2024-07-10 15:13:42.622000,52055985.4910141,7265091.320635558,44797650.87356243
2024-07-10 15:13:54.622000,52072077.52563844,7261301.541873836,44817604.395445295
2024-07-10 15:14:06.630000,52060131.87976933,7252161.454814218,44814758.84093623
2024-07-10 15:14:18.622000,52026504.20242807,7237644.627059286,44795659.714501716
2024-07-10 15:14:30.622000,52012865.318864785,7230921.442267054,44788739.19185665
2024-07-10 15:14:42.630000,52023094.1277375,7215580.124819706,44814193.484334104
2024-07-10 15:14:54.623000,52002617.18919672,7197428.177254586,44811987.77449978
2024-07-10 15:15:06.623000,51995725.352520525,7182037.241831976,44820602.697716236
2024-07-10 15:15:18.622000,51987236.729977414,7173678.23763179,44820475.837210394
2024-07-10 15:15:30.622000,51970467.711771645,7169515.568846793,44807903.95835667
2024-07-10 15:15:42.622000,51970178.11841674,7157611.477846115,44819484.67727952
2024-07-10 15:15:54.622000,51982489.10740159,7160399.652098732,44828883.38930021
2024-07-10 15:16:06.623000,51953487.68263352,7156127.760983693,44804173.160513416
2024-07-10 15:16:18.622000,51943211.978117935,7149498.607808888,44800670.70620993
2024-07-10 15:16:30.622000,51979095.59490682,7150957.10735984,44834993.091618106
2024-07-10 15:16:42.646000,52002206.26966682,7162533.128517966,44846716.6570602
2024-07-10 15:16:54.630000,51983771.49089862,7166673.159081516,44824005.34193596
2024-07-10 15:17:06.622000,51971897.60136789,7148986.83820437,44829848.11191318
2024-07-10 15:17:18.638000,51968240.74814604,7137456.805376679,44837786.780583724
2024-07-10 15:17:30.624000,51956719.86880964,7124087.198701885,44839597.59006323
2024-07-10 15:17:42.624000,51937483.99162307,7123867.175717252,44820540.36351727
2024-07-10 15:17:54.622000,51942734.91161997,7125221.273258469,44824478.55351494
2024-07-10 15:18:06.622000,51936205.712583736,7140034.693590511,44803015.97063455
2024-07-10 15:18:18.623000,51953895.84266258,7126529.953740714,44834239.11076271
2024-07-10 15:18:30.622000,51955976.67698786,7116413.049248731,44846600.2442063
