Wavelength,Transmission,Matched_Intensity,Expected_Counts
3.883757790999999884e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.883845137999999793e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.883932785000000081e+02,1.703000000000000155e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.884020431999999801e+02,1.546999999999999931e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.884107678999999962e+02,3.093999999999999862e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.884195326000000250e+02,7.920000000000000180e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.884282972999999970e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.884370319999999879e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.884457967999999823e+02,9.240000000000000210e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.884545314999999732e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.884632862000000273e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.884720508999999993e+02,1.364999999999999939e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.884807855999999902e+02,3.639999999999999838e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.884895503000000190e+02,4.302999999999999901e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.884982850000000099e+02,2.774999999999999788e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.885070496999999818e+02,1.800000000000000247e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.885157743999999980e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.885245391000000268e+02,3.162000000000000300e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.885332738000000177e+02,7.999999999999999839e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.885420384999999897e+02,1.898000000000000192e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.885507731999999805e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.885595379000000094e+02,1.690000000000000069e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.885682626000000255e+02,2.051999999999999738e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.885770274000000200e+02,2.030000000000000034e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.885857621000000108e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.885945267999999828e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.886032614999999737e+02,1.106000000000000013e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.886120262000000025e+02,9.240000000000000210e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886207509000000186e+02,1.690000000000000069e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886295155999999906e+02,9.240000000000000210e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886382502999999815e+02,3.639999999999999838e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886470150000000103e+02,9.480000000000000803e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886557497000000012e+02,5.850000000000000317e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886645143999999732e+02,9.240000000000000210e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886732390999999893e+02,1.195999999999999993e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.886820038000000181e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.886907385000000090e+02,6.890000000000000732e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.886994733000000224e+02,1.885000000000000147e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.887082379999999944e+02,1.819999999999999919e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.887169627000000105e+02,5.459999999999999757e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.887257273999999825e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.887344620999999734e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.887431968000000211e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.887519614999999931e+02,1.575000000000000054e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.887606961999999839e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.887694508999999812e+02,2.393999999999999695e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.887781855999999721e+02,1.652000000000000150e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.887869203000000198e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.887956849999999918e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.888044198000000051e+02,1.652000000000000150e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.888131443999999988e+02,1.469999999999999835e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.888219091999999932e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.888306438999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.888393785999999750e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.888481433000000038e+02,8.580000000000001003e-12,0.000000000000000000e+00,0.000000000000000000e+00
