Time,AR_total,AR_count_Er,AR_area
2024-06-02T08:45:33.186,726397665.609883,19854.87237477123,82570
2024-06-02T08:46:34.562,731357010.8435614,19922.174674286278,82570
2024-06-02T08:47:00.994,739280985.797858,20032.469115769007,82570
2024-06-02T08:48:01.556,759955571.7925584,20315.1497296709,82570
2024-06-02T08:48:16.922,767466850.6191374,20388.222697122874,82570
2024-06-02T08:48:32.289,764953024.1999297,20356.59414656781,82570
2024-06-02T08:48:49.647,763782680.5855942,20336.997981759592,82570
2024-06-02T08:49:05.847,763023981.110702,20323.157589920484,82570
2024-06-02T08:49:22.623,761965445.1008554,20304.525221808577,82570
2024-06-02T08:49:39.399,760640562.8282337,20286.59383386317,82570
2024-06-02T08:49:56.175,758867135.0190208,20263.372264649854,82570
2024-06-02T08:50:12.951,755645832.6706059,20225.74498617872,82570
2024-06-02T08:50:29.727,754738757.5944765,20212.028072596113,82570
2024-06-02T08:50:46.502,755531564.3297548,20218.598089728035,82570
2024-06-02T08:51:03.276,754444146.4466052,20209.595614475067,82570
2024-06-02T08:51:20.509,753618953.6320758,20197.631618544332,82570
2024-06-02T08:51:36.831,753900927.1937523,20199.073347853566,82570
2024-06-02T08:51:53.607,755498457.8720446,20213.752022889632,82570
2024-06-02T08:52:10.381,756504388.1731831,20224.813974804947,82570
2024-06-02T08:52:27.157,756482490.5605255,20222.823363757758,82570
2024-06-02T08:52:43.933,758013768.673415,20245.27175525492,82570
2024-06-02T08:53:00.709,759480224.8045962,20261.21420693317,82570
2024-06-02T08:53:17.485,759703765.5002842,20264.24272437561,82570
2024-06-02T08:53:34.261,757552543.2915571,20237.97485661858,82570
2024-06-02T08:53:51.373,757123800.0157229,20234.841164526057,82570
2024-06-02T08:54:07.813,756179718.5102212,20231.629354397017,82570
2024-06-02T08:54:24.593,756096633.5548567,20231.927938357683,82570
2024-06-02T08:54:41.369,754590752.205543,20212.86364267185,82570
2024-06-02T08:54:58.146,753773184.9109279,20201.906572351087,82570
2024-06-02T08:55:14.922,753950831.6701883,20204.617030654037,82570
2024-06-02T08:55:31.698,752673121.5099835,20189.03395188188,82570
2024-06-02T08:55:48.473,750045045.6839709,20154.72622890774,82570
2024-06-02T08:56:05.248,747040430.675276,20120.010727526755,82570
2024-06-02T08:56:22.217,746596236.3020428,20114.70271137841,82570
2024-06-02T08:56:38.796,746137148.3523923,20108.962371622896,82570
2024-06-02T08:56:55.570,745708784.6966772,20103.98826947125,82570
2024-06-02T08:57:12.346,744467199.4595749,20093.324210340787,82570
2024-06-02T08:57:29.122,744599366.8406289,20095.163976757998,82570
2024-06-02T08:57:45.898,744709901.2689087,20088.22047768916,82570
2024-06-02T08:58:02.674,745097644.0289445,20089.230275205176,82570
2024-06-02T08:58:19.450,745501746.7501072,20092.18613790158,82570
2024-06-02T08:58:36.226,744790938.8465681,20085.403419890266,82570
2024-06-02T08:58:53.211,742801843.8174555,20056.722374561916,82570
2024-06-02T08:58:59.518,743041854.4342892,20058.117264813864,82570
2024-06-02T08:59:15.714,741548166.829715,20044.52716231492,82570
2024-06-02T09:00:17.923,733703517.3839676,19952.470083931014,82570
2024-06-02T09:00:43.553,734662780.2503252,19965.81366632433,82570
2024-06-02T09:01:45.124,731895230.3319362,19930.93793534852,82570
2024-06-02T09:02:11.617,733072796.611751,19942.393917092242,82570
2024-06-02T09:03:13.188,733327891.6509662,19942.8869697034,82570
2024-06-02T09:03:39.682,731697695.97159,19914.66407353619,82570
2024-06-02T09:04:41.252,726393009.3430252,19849.352628414894,82570
2024-06-02T09:05:07.747,726700576.09398,19853.933099014906,82570
2024-06-02T09:06:09.316,722024529.1861887,19803.77297326136,82570
2024-06-02T09:06:35.810,722879804.9865215,19807.504075366618,82570
2024-06-02T09:07:37.380,722265206.1251917,19792.97438664309,82570
2024-06-02T09:08:03.874,723070580.5273567,19796.456126513385,82570
2024-06-02T09:09:05.445,720542895.339083,19765.960660415563,82570
2024-06-02T09:09:31.939,721094554.5317158,19769.534111571324,82570
2024-06-02T09:10:33.509,718400094.4957473,19745.512892465333,82570
2024-06-02T09:11:00.290,719001022.0320418,19749.52483230347,82570
2024-06-02T09:12:01.541,716779839.9636025,19735.740779843156,82570
2024-06-02T09:12:28.351,719065382.2206522,19758.249410047305,82570
2024-06-02T09:13:29.605,720271450.835015,19768.262571726114,82570
2024-06-02T09:13:56.993,722081732.5457219,19788.581653117828,82570
2024-06-02T09:14:57.637,722257061.7245102,19797.63986548816,82570
2024-06-02T09:15:24.131,724577897.9597094,19825.26650141913,82570
2024-06-02T09:16:25.668,724678654.3835111,19821.6007926571,82570
2024-06-02T09:16:52.164,725201540.0465695,19825.49236617467,82570
2024-06-02T09:17:53.700,725023436.6363573,19823.48936980102,82570
2024-06-02T09:18:20.196,725295594.2933093,19821.949532392846,82570
2024-06-02T09:19:21.765,725836889.9678279,19831.233727855837,82570
2024-06-02T09:19:48.260,726664144.3970263,19839.043868635188,82570
