time,reg1,reg2,reg3,reg4,reg5,reg6
2024-07-10 05:58:23.900000,2402355.0,1199128.5,4494698.6,4655917.9,1026919.4,1409302.0
2024-07-10 05:58:23.900000,2402355.0,1199128.5,4494698.6,4655917.9,1026919.4,1409302.0
2024-07-10 05:59:08.900000,2401724.2,1194133.7000000002,4494060.5,4658631.0,1023191.7,1416726.4000000001
2024-07-10 05:59:08.900000,2401724.2,1194133.7000000002,4494060.5,4658631.0,1023191.7,1416726.4000000001
2024-07-10 05:59:53.900000,2401620.4000000004,1192986.7000000002,4494598.600000001,4654461.2,1019294.7000000002,1420153.1
2024-07-10 05:59:53.900000,2401620.4000000004,1192986.7000000002,4494598.600000001,4654461.2,1019294.7000000002,1420153.1
2024-07-10 06:00:38.900000,2403702.7,1189223.5,4496216.6,4659884.2,1017602.2000000001,1425635.8
2024-07-10 06:00:38.900000,2403702.7,1189223.5,4496216.6,4659884.2,1017602.2000000001,1425635.8
2024-07-10 06:01:23.900000,2404715.6,1190175.5,4499504.500000001,4661246.399999999,1013342.0,1433510.6
2024-07-10 06:01:23.900000,2404715.6,1190175.5,4499504.500000001,4661246.399999999,1013342.0,1433510.6
2024-07-10 06:01:23.900000,2404715.6,1190175.5,4499504.500000001,4661246.399999999,1013342.0,1433510.6
2024-07-10 06:02:08.900000,2408722.2,1189490.2,4507783.9,4661697.800000001,1008631.1000000001,1439569.8
2024-07-10 06:02:08.900000,2408722.2,1189490.2,4507783.9,4661697.800000001,1008631.1000000001,1439569.8
2024-07-10 06:02:53.900000,2410854.3,1187337.9000000001,4515346.300000001,4665886.1,1004395.2,1436533.7
2024-07-10 06:02:53.900000,2410854.3,1187337.9000000001,4515346.300000001,4665886.1,1004395.2,1436533.7
2024-07-10 06:03:38.900000,2408620.7,1183284.2000000002,4512752.0,4669437.4,998856.7,1441144.2000000002
2024-07-10 06:03:38.900000,2408620.7,1183284.2000000002,4512752.0,4669437.4,998856.7,1441144.2000000002
2024-07-10 06:04:23.900000,2406203.6000000006,1179355.3,4511821.0,4670535.5,995778.6000000001,1447455.4000000001
2024-07-10 06:04:23.900000,2406203.6000000006,1179355.3,4511821.0,4670535.5,995778.6000000001,1447455.4000000001
2024-07-10 06:05:08.900000,2408289.7,1180389.8,4513839.1,4671435.8,993875.8,1447139.4
2024-07-10 06:05:08.900000,2408289.7,1180389.8,4513839.1,4671435.8,993875.8,1447139.4
2024-07-10 06:05:08.900000,2408289.7,1180389.8,4513839.1,4671435.8,993875.8,1447139.4
2024-07-10 06:05:53.900000,2409940.0,1182848.0,4519569.5,4670033.0,992427.4000000001,1447450.2000000002
2024-07-10 06:05:53.900000,2409940.0,1182848.0,4519569.5,4670033.0,992427.4000000001,1447450.2000000002
2024-07-10 06:06:38.900000,2409249.4000000004,1181865.2,4521696.6,4672590.5,989358.2000000002,1449287.5000000002
2024-07-10 06:06:38.900000,2409249.4000000004,1181865.2,4521696.6,4672590.5,989358.2000000002,1449287.5000000002
2024-07-10 06:07:23.900000,2413953.2,1182527.5,4527657.200000001,4677228.800000001,986531.5,1455384.9
2024-07-10 06:07:23.900000,2413953.2,1182527.5,4527657.200000001,4677228.800000001,986531.5,1455384.9
2024-07-10 06:08:08.900000,2415822.1000000006,1184909.5,4532445.0,4674313.500000001,984901.0,1462327.4000000004
2024-07-10 06:09:38.900000,2413675.1,1181754.7000000002,4535807.4,4685252.0,983277.6000000001,1462626.5
2024-07-10 06:11:08.900000,2412726.7,1174983.6,4539471.9,4678742.4,976565.6000000001,1476641.0
2024-07-10 06:12:38.900000,2414355.7,1171942.5,4544927.0,4676412.4,963816.0,1485789.9000000001
2024-07-10 06:14:08.900000,2414910.6999999997,1169857.7000000002,4557422.0,4673831.4,958257.3,1493664.2000000002
